Volcano,Country,Eruption Start Date,Eruption Stop Date,Max VEI
Kuchinoerabujima,Japan,2020 Jan 11,2020 Feb 13 (continuing),
Semisopochnoi,United States,2019 Dec 7,2020 Feb 16 (continuing),
Nishinoshima,Japan,2019 Dec 5,2020 Feb 15 (continuing),1
Kikai,Japan,2019 Nov 2,2020 Feb 11 (continuing),
Klyuchevskoy,Russia,2019 Oct 24,2020 Feb 19 (continuing),
Asosan,Japan,2019 Apr 16,2020 Feb 17 (continuing),
Sangay,Ecuador,2019 Mar 26,2020 Feb 19 (continuing),
Tinakula,Solomon Islands,2018 Dec 8 (in or before),2020 Feb 18 (continuing),2
Karangetang,Indonesia,2018 Nov 25,2020 Feb 19 (continuing),2
Barren Island,India,2018 Sep 25,2020 Feb 16 (continuing),1
Mayotte,France,2018 Jul 3,2019 Aug 20 (continuing),0
Krakatau,Indonesia,2018 Jun 18,2020 Feb 19 (continuing),3
Merapi,Indonesia,2018 May 11,2020 Feb 19 (continuing),3
Kerinci,Indonesia,2018 Apr 21,2020 Feb 16 (continuing),1
Nyamuragira,DR Congo,2018 Apr 18,2020 Feb 20 (continuing),0
Kadovar,Papua New Guinea,2018 Jan 5,2020 Feb 19 (continuing),2
Sangeang Api,Indonesia,2017 Jul 15,2020 Feb 11 (continuing),2
Ol Doinyo Lengai,Tanzania,2017 Apr 9,2020 Feb 3 (continuing),0
Aira,Japan,2017 Mar 25,2020 Feb 19 (continuing),1
Sabancaya,Peru,2016 Nov 6,2020 Feb 19 (continuing),3
Ebeko,Russia,2016 Oct 20,2020 Feb 19 (continuing),2
Nevados de Chillan,Chile,2016 Jan 8,2020 Feb 19 (continuing),2
Masaya,Nicaragua,2015 Oct 3,2020 Feb 13 (continuing),1
Pacaya,Guatemala,2015 Jun 7 ± 1 days,2020 Feb 19 (continuing),1
Villarrica,Chile,2014 Dec 2 ± 7 days,2020 Feb 19 (continuing),1
Saunders,United Kingdom,2014 Nov 12,2020 Jan 28 (continuing),1
Manam,Papua New Guinea,2014 Jun 29,2020 Jan 25 (continuing),2
Semeru,Indonesia,2014 Apr 1 ± 15 days,2020 Feb 19 (continuing),3
Etna,Italy,2013 Sep 3,2020 Feb 19 (continuing),2
Heard,Australia,2012 Sep 5 ± 4 days,2020 Jan 6 (continuing),0
Bezymianny,Russia,2010 May 21 (?),2020 Feb 2 (continuing),3
Reventador,Ecuador,2008 Jul 27,2020 Feb 19 (continuing),2
Ibu,Indonesia,2008 Apr 5,2020 Feb 16 (continuing),1
Popocatepetl,Mexico,2005 Jan 9,2020 Feb 19 (continuing),2
Suwanosejima,Japan,2004 Oct 23,2020 Feb 19 (continuing),2
Nyiragongo,DR Congo,2002 May 17 (?),2020 Feb 20 (continuing),2
Fuego,Guatemala,2002 Jan 4,2020 Feb 19 (continuing),3
Bagana,Papua New Guinea,2000 Feb 28 (in or before),2020 Feb 7 (continuing),2
Sheveluch,Russia,1999 Aug 15,2020 Feb 19 (continuing),4
Erebus,Antarctica,1972 Dec 16 (in or before) ± 15 days,2020 Feb 18 (continuing),2
Erta Ale,Ethiopia,1967 Jul 2 (in or before) ± 182 days,2020 Feb 20 (continuing),0
Stromboli,Italy,1934 Feb 2,2020 Feb 20 (continuing),2
Dukono,Indonesia,1933 Aug 13,2020 Feb 19 (continuing),3
Santa Maria,Guatemala,1922 Jun 22,2020 Feb 19 (continuing),3
Yasur,Vanuatu,1774 Jul 2 (in or before) ± 182 days,2020 Feb 20 (continuing),3
